emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,node
1.3600687,2.1272497,-0.27836207,-1.0271897,-0.6859391,2.700153,-0.7542646,2.673497,0
3.796057,0.7713155,3.3698401,4.7398815,-0.3820089,1.9545442,1.7776037,8.2586155,1
-0.4494127,1.0060447,-1.4714996,-0.4022349,1.1211075,0.6956974,-1.4963094,-1.3059487,2
-0.80603194,-1.3431882,-1.5476487,-0.8398164,0.12689194,0.7782741,-2.272825,-1.1991963,3
3.5212438,-1.2665857,3.8171144,3.382083,-0.12803352,2.9682465,2.004976,6.7770405,4
4.055248,-1.0532417,3.9859924,4.499322,0.082855344,3.25169,2.2095165,6.033554,17
1.8749399,-1.081543,3.9747465,2.9710526,-1.525454,2.7532759,1.7250797,6.077404,45
2.301673,3.329338,-0.24978274,3.3574905,1.151919,1.5576094,0.87277806,4.78102,60
4.1310687,0.112580925,3.4797888,5.1223254,0.54409075,2.430571,3.3949246,7.850247,83
4.630821,1.2356086,4.7464995,5.898123,4.699846,-0.32069498,3.7736094,7.9181128,87
0.879961,2.3863335,4.1007633,4.296204,0.054507375,2.5466666,1.548819,5.534524,112
4.630821,1.2356086,4.7464995,5.898123,4.699846,-0.32069498,3.7736094,7.9181128,340
3.9640238,1.3109512,2.227195,4.397353,0.2596928,0.5599806,1.3975121,8.59428,428
4.200789,0.57444745,4.8548703,5.662309,5.714275,0.06820281,5.954113,7.562725,432
-0.6259828,0.66841817,3.5941544,3.6577733,-1.1455691,0.7351641,-0.46379292,5.448859,468
0.7612355,-0.7295953,2.936728,2.8975642,-0.5763639,3.056419,-0.60854876,1.7908304,503
0.5620197,1.9815645,0.7656799,2.484445,1.2805847,1.6160742,0.9591166,2.703697,526
2.8094993,2.9157252,2.212687,3.0749674,-0.8986743,1.4315704,3.2318428,9.185077,562
-0.6152427,-0.324949,-1.4753748,-0.30783904,0.8182856,2.5712302,-2.1264415,-0.7018307,588
0.48318732,0.37311575,2.7254057,1.3404838,-2.3779273,6.017159,1.1736637,6.7544127,627
-1.0963129,1.2977738,-2.188016,0.9842554,1.2865449,0.2277387,0.50738895,2.8159633,668
4.200789,0.57444745,4.8548703,5.662309,5.714275,0.06820281,5.954113,7.562725,690
0.12237156,1.4111042,3.0451653,2.8128822,-1.6781459,3.7572026,0.7311113,2.578305,704
-0.5311563,2.0986807,-1.3501086,-0.2171689,0.3925453,0.43938166,-0.8447807,-0.2703577,711
-0.5261606,1.4237957,-1.3711815,1.0740433,0.08717039,3.3760314,1.244874,2.7439232,719
0.38997903,-0.36566398,4.2092323,3.7464569,-2.5837266,3.4132175,-0.635442,5.5098386,751
0.934463,0.86239874,0.3560689,0.27130988,-0.7819303,3.2124498,-0.40677044,2.0004325,775
0.60364836,2.1878476,1.5047626,3.091121,-1.5359828,-0.010167792,0.41868955,2.5163958,888
-0.17714931,0.36408707,-0.95421344,0.34919,0.4038195,2.2310371,-1.4897133,0.14235878,921
3.7948394,0.33001927,2.3298087,3.784576,1.3900207,0.68844074,3.1558611,8.756835,950
0.44292793,2.9136727,-0.31450146,1.1714624,0.07899642,3.4053988,-0.9399117,0.244497,1036
-0.10166479,0.25850073,-1.2506969,1.6302564,0.9791956,1.4728999,-0.44063532,-0.50914466,1105
-1.7975307,0.24007303,-0.91232187,1.2559314,-0.46187207,1.7191153,-1.3838058,0.24776903,1110
3.8684373,0.14011827,2.1630795,3.4155445,1.087961,0.81799847,3.015051,9.0887375,1137
-0.29682595,0.4505543,1.3566465,0.7930051,0.44933045,1.0881059,0.56746686,1.1413567,1189
-0.19006582,3.2554703,3.7222793,4.94196,0.21504068,-2.1056433,1.5618356,4.1695757,1208
4.630821,1.2356086,4.7464995,5.898123,4.699846,-0.32069498,3.7736094,7.9181128,1258
-2.8711052,0.8204904,1.9239366,3.8772404,-0.6486427,0.9874775,-0.4067851,2.554734,1275
4.630821,1.2356086,4.7464995,5.898123,4.699846,-0.32069498,3.7736094,7.9181128,1295
-0.66771716,0.58507746,-0.9933127,0.024364553,0.9794296,2.4630654,-2.4003036,0.022017367,1321
-1.4306766,1.0378662,2.2254577,5.017254,-0.13034815,-1.4406214,1.1221951,3.5635612,1438
